time,high,low
2025-01-01,,
2025-01-02,17.45,17.2
2025-01-03,17.45,17.15
2025-01-04,,
2025-01-05,,
2025-01-06,17.25,17.0
2025-01-07,17.15,16.8
2025-01-08,16.95,16.8
2025-01-09,17.15,16.8
2025-01-10,17.05,16.65
2025-01-11,,
2025-01-12,,
2025-01-13,16.85,16.5
2025-01-14,16.65,16.1
2025-01-15,16.5,16.1
2025-01-16,16.7,16.35
2025-01-17,16.6,16.45
2025-01-18,,
2025-01-19,,
2025-01-20,16.85,16.5
2025-01-21,16.75,16.5
2025-01-22,16.6,16.3
2025-01-23,16.5,16.2
2025-01-24,16.65,16.3
2025-01-25,,
2025-01-26,,
2025-01-27,,
2025-01-28,,
2025-01-29,,
2025-01-30,,
2025-01-31,,
2025-02-01,,
2025-02-02,,
2025-02-03,16.5,16.15
2025-02-04,16.4,16.2
2025-02-05,17.1,16.35
2025-02-06,16.9,16.7
2025-02-07,16.9,16.6
2025-02-08,,
2025-02-09,,
2025-02-10,16.75,16.55
2025-02-11,16.6,16.3
2025-02-12,16.6,16.4
2025-02-13,16.7,16.4
2025-02-14,16.8,16.55
2025-02-15,,
2025-02-16,,
2025-02-17,16.7,16.4
2025-02-18,17.05,16.45
2025-02-19,17.3,16.8
2025-02-20,17.45,17.25
2025-02-21,17.4,17.1
2025-02-22,,
2025-02-23,,
2025-02-24,17.35,17.1
2025-02-25,17.5,17.25
2025-02-26,17.35,17.0
2025-02-27,17.2,16.9
2025-02-28,17.65,17.2
